 X: 0.87284136 | Y: 1.09319544 | Z: 0.51877367 | accel X: 0.00409948 | accel Y: 0.00026915 | accel Z: -0.02435189
 X: 0.88568228 | Y: 1.08207607 | Z: 0.51315576 | accel X: 0.00476157 | accel Y: 0.00048543 | accel Z: -0.02627248
 X: 0.88152862 | Y: 1.08410370 | Z: 0.51950741 | accel X: 0.00520099 | accel Y: 0.00022665 | accel Z: -0.03026861
 X: 0.87867266 | Y: 1.08628833 | Z: 0.51526517 | accel X: 0.00374706 | accel Y: 0.00273918 | accel Z: -0.02450156
 X: 0.87468576 | Y: 1.09091389 | Z: 0.52034461 | accel X: -0.00036864 | accel Y: -0.00163162 | accel Z: -0.02357066
 X: 0.87491608 | Y: 1.09174788 | Z: 0.51543725 | accel X: -0.00036864 | accel Y: -0.00163162 | accel Z: -0.02357066
 X: 0.87596601 | Y: 1.08891678 | Z: 0.52389503 | accel X: 0.00410267 | accel Y: -0.00088370 | accel Z: -0.02932477
 X: 0.88246208 | Y: 1.08606088 | Z: 0.52249050 | accel X: 0.00180645 | accel Y: 0.00121608 | accel Z: -0.02532202
 X: 0.88478118 | Y: 1.08374465 | Z: 0.51817536 | accel X: 0.00276781 | accel Y: -0.00143158 | accel Z: -0.02470624
 X: 0.87277436 | Y: 1.09113860 | Z: 0.51601779 | accel X: 0.00595139 | accel Y: 0.00045263 | accel Z: -0.02270859
 X: 0.87865698 | Y: 1.08723760 | Z: 0.51706946 | accel X: 0.00072736 | accel Y: 0.00127047 | accel Z: -0.02240789
 X: 0.88268220 | Y: 1.08530223 | Z: 0.51329571 | accel X: 0.00072736 | accel Y: 0.00127047 | accel Z: -0.02240789
 X: 0.88441628 | Y: 1.08634567 | Z: 0.51698065 | accel X: 0.00714955 | accel Y: 0.00159062 | accel Z: -0.02914274
 X: 0.88091242 | Y: 1.08768678 | Z: 0.51956069 | accel X: 0.00425964 | accel Y: -0.00031257 | accel Z: -0.02874935
 X: 0.88102442 | Y: 1.08504641 | Z: 0.51587439 | accel X: 0.00297744 | accel Y: -0.00053871 | accel Z: -0.02659923
 X: 0.87984544 | Y: 1.08629060 | Z: 0.51688010 | accel X: 0.00315440 | accel Y: 0.00138299 | accel Z: -0.02095592
 X: 0.87512970 | Y: 1.08880413 | Z: 0.51759416 | accel X: 0.00618807 | accel Y: -0.00021134 | accel Z: -0.02354348
